Building,Building Number,Abbreviation,Precint,City,Floor Plan,FCI,LEED Level,LEED Certification Year,Gross SF,Year Built,Age,Resident or Non-resident,Ownership,Estimated Replacement Cost,Last Renovation Cost,Last Renovation Year,Building Condition,Air Cond,Accessibel Area,Assignable Area,Building Cost,Number of Floors,Last Update,Address
CALS Crop Science Stor UFL 149-Reedy Creek,821M,Y56,Reedy Creek,Raleigh,,,,,380,1980,37,1,1,39070,,,1,1,0,362,1920,1,14,2200 Trenton Rd.
CALS Cross Section Shelter -Lake Wheeler,809U,CSS,Lake Wheeler Site,Raleigh,809u.pdf,,,,1256,2001,16,1,1,48383,,,1,1,0,1250,25000,1,14,4048 Chi Rd.
CALS Cs Breed Res UFL 194-Reedy Creek,465F,RCF,Reedy Creek,Raleigh,465f.pdf,,,,5075,1985,32,1,1,521779,,,1,6,4874,4874,243900,1,14,4116 Reedy Creek Rd.
CALS Dairy Feed/Housing UFL 291-Lake Wheeler,813C,X79,Lake Wheeler Site,Raleigh,,,,,17295,1980,37,1,1,1045977,31022,95,1,1,0,17000,190000,1,14,301 Dairy Lane
CALS Dairy Feed/Housing UFL 292-Lake Wheeler,813D,X80,Lake Wheeler Site,Raleigh,,,,,17295,1980,37,1,1,1045977,31022,95,1,1,0,17000,190000,1,14,301 Dairy Lane
CALS Dairy/Lngng/Feed Barn UFL 234-Lake Wheeler,811H,X34,Lake Wheeler Site,Raleigh,,,,,16600,1967,50,1,1,1706706,39973,80,1,1,13024,13091,32578,1,14,401 Dairy Lane
CALS DIET MIX LAB UF,820Y,,,,,,,,522,1935,82,1,1,72611,,,2,1,0,512,1200,1,14,
CALS Dr. Carl T. Blake Maintenance Bldg-Lake Wheeler,810Y,W06,Lake Wheeler Site,Raleigh,810y.pdf,,,,7483,2005,12,1,1,1369529,,,1,2,6903,6903,132243,2,14,3930 Dr. Bill Gilbert Way
CALS Dryer Shed #53- Clayton,807P,P53,Outlying,Clayton,,,,,1232,1986,31,1,1,74510,,,2,1,0,1170,7600,1,14,13223 US 70 West
CALS DUPLEX APARTMEN,861E,,,,,,,,2800,1930,87,2,1,389483,,,5,6,0,2660,6000,1,14,
CALS Dwelling - Castle Hayne,880D,D08,Outlying,Castle Hayne,,,,,1508,1961,56,2,1,242596,2000,93,2,6,0,1500,47500,1,14,3800 Castle Hayne Rd.
CALS Dwelling - Meu UFL D11-Reedy Creek,820,Y19,Reedy Creek,Raleigh,,,,,1092,1960,57,2,1,175673,,,2,1,0,1062,12800,1,14,2001 Trenton Rd.
CALS Dwelling - Seu UFL D12-Reedy Creek,820A,Y20,Reedy Creek,Raleigh,,,,,1265,1938,79,2,1,252468,,,2,1,0,1152,4800,1,14,2200 Trenton Rd.
CALS Dwelling (Wood Frame) - Fletcher,850J,Z10,Outlying,Fletcher,,,,,1965,1965,52,2,1,316115,,,1,6,0,950,10150,1,14,2000 Fanning Bridge Rd.
CALS Dwelling (Wood Frame) - Fletcher,850M,Z13,Outlying,Fletcher,,,,,1725,1942,75,2,1,277507,47500,95,1,6,0,1280,12075,1,14,2000 Fanning Bridge Rd.
CALS Dwelling (Wood Frame)- Fletcher,850H,Z09,Outlying,Fletcher,,,,,1904,1964,53,2,1,306303,,,1,6,0,1140,9200,1,14,2000 Fanning Bridge Rd.
CALS Dwelling D1-Clayton,805,J01,Outlying,Clayton,,,,,2068,1955,62,2,1,332686,,,1,6,1799,1799,90000,1,14,13223 US 70 West
CALS Dwelling D2- Clayton,805B,J03,Outlying,Clayton,,,,,1398,1955,62,2,1,194462,,,1,6,810,810,56600,1,14,13223 US 70 West
CALS Dwelling D40- Clayton,806H,J35,Outlying,Clayton,,,,,1712,1968,49,2,1,217903,,,1,6,1459,1459,12000,1,14,13223 US 70 West
CALS DWELLING GARAGE,880E,,,,,,,,504,1961,56,1,1,81079,3000,90,1,1,0,500,10000,1,14,
CALS Dwelling Supt UFL D92-Lake Wheeler,810C,X04,Lake Wheeler Site,Raleigh,,,,,3202,1969,48,2,1,432703,,,2,4,3138,3138,47070,1,14,3232 Lake Wheeler Rd.
CALS Dwelling UFL D22-Lake Wheeler,810,X01,Lake Wheeler Site,Raleigh,,,,,1669,1940,77,2,1,156440,,,2,1,0,1640,8500,1,14,3920 Dr. Bill Gilbert Way
CALS Dwelling UFL D28-Lake Wheeler,810B,X03,Lake Wheeler Site,Raleigh,,,,,1750,1966,51,2,1,243427,,,2,1,0,1720,14600,1,14,4108 Lake Wheeler Rd.
CALS Dwelling-BEU UFL D14-Reedy Creek,820B,Y21,Reedy Creek,Raleigh,,,,,1182,1952,65,2,1,245620,16032,92,1,1,0,1064,6500,1,14,4901 Reedy Creek Rd.
CALS ENTOMOLOGY LAB,880C,,,,,,,,1152,1968,49,1,1,557371,,,2,6,0,1101,42500,1,14,
CALS Eqipment Shed #1 - Castle Hayne,880K,EQ1,Outlying,Castle Hayne,880k.pdf,,,,,,,,,,,,,,,,,,,3800 Castle Hayne Rd.
CALS Equine Stallion Barn UFL 118-Reedy Creek,476,W3,Reedy Creek,Raleigh,,,,,1296,1998,19,1,1,133246,,,1,1,0,1166,22000,1,14,5100 Reedy Creek Rd.
CALS Equine Training Facility-Reedy Creek,475,ETF,Reedy Creek,Raleigh,475.pdf,,,,9735,1989,28,1,1,1354146,,,1,5,8349,8349,600000,1,14,5100 Reedy Creek Rd.
CALS Equip Metal Shed - Fletcher,850R,Z18,Outlying,Fletcher,,,,,4400,1987,30,1,1,266106,,,1,1,4020,4020,60000,1,14,2000 Fanning Bridge Rd.
CALS Equip Shed #2 - Castle Hayne,880N,EQ2,Outlying,Castle Hayne,880n.pdf,,,,,,,,,,,,,,,,,,,3800 Castle Hayne Rd.
CALS Equip Shed UFL 1036- Bahama,846,Q26,Outlying,Bahama,,,,,558,1988,29,1,1,40496,,,1,1,530,530,1440,1,14,8800 Cassam Rd.
CALS Equip Shed UFL 297-Lake Wheeler,813H,X84,Lake Wheeler Site,Raleigh,,,,,1148,1988,29,1,1,118030,,,1,1,960,960,11280,1,14,400 Dairy Lane
CALS Equip Shelter UFL 1023- Bahama,845V,Q21,Outlying,Bahama,,,,,3889,1990,27,1,1,235202,,,1,1,3695,3695,15315,1,14,8800 Cassam Rd.
CALS Equip Storage Shed UFL 205-Lake Wheeler,810G,X08,Lake Wheeler Site,Raleigh,,,,,2885,1981,36,1,1,174481,,,1,1,2741,2741,3500,1,14,4003 Chi Rd.
CALS Equip Storage UFL 121-Reedy Creek,820R,Y35,Reedy Creek,Raleigh,,,,,288,1972,45,1,1,69415,,,1,1,0,273,650,1,14,2150 Trenton Rd.
CALS Equip Storage UFL 151-Reedy Creek,821P,Y58,Reedy Creek,Raleigh,,,,,5148,1981,36,1,1,529284,,,1,1,4891,4891,29073,1,14,4905 Reedy Creek Rd.
CALS Equip Storage UFL 288-Lake Wheeler,813,X76,Lake Wheeler Site,Raleigh,,,,,4609,1971,46,1,1,473867,,,1,1,4600,4600,17500,1,14,3932 Dr. Bill Gilbert Way
CALS Equip/Supply Stor UFL 111-Reedy Creek,820L,Y30,Reedy Creek,Raleigh,,,,,2400,1995,22,1,1,246753,,,1,1,2280,2280,18000,1,14,4905 Reedy Creek Rd.
CALS Equipment Room And Storage-Lake Wheeler,809W,ERS,Lake Wheeler Site,Raleigh,809w.pdf,,,,538,2007,10,1,1,18144,,,1,1,0,507,9000,1,14,4040 Chi Rd.
CALS Equipment Shed UFL 295-Lake Wheeler,813F,X82,Lake Wheeler Site,Raleigh,,,,,7500,1980,37,1,1,771102,,,1,1,7200,7200,67224,1,14,450 Dairy Lane
CALS Equipment Storage - Castle Hayne,880F,F17,Outlying,Castle Hayne,,,,,1664,1955,62,1,1,171082,,,5,1,0,1660,18700,1,14,3800 Castle Hayne Rd.
CALS Equipment Storage #13 - Castle Hayne,880R,E13,Outlying,Castle Hayne,880r.pdf,,,,,,,,,,,,,,,,,,,3800 Castle Hayne Rd.
CALS Equipment Storage UFL 175-Reedy Creek,465B,RCP,Reedy Creek,Raleigh,465b.pdf,,,,7563,1978,39,1,1,777578,,,1,1,0,7295,48750,1,14,4116 Reedy Creek Rd.
CALS Experimental Hatchery Bldg - Lake Wheeler,815X,EHB,Lake Wheeler Site,Raleigh,815x.pdf,,,,1920,2004,13,1,1,151197,,,1,6,0,1840,75000,1,14,3915 Inwood Rd.
CALS FARM EQUIP STOR,821V,,,,,,,,3502,1978,39,1,1,360054,,,1,1,0,3340,18900,1,14,
CALS Farm Equip Storage UFL 170-Reedy Creek,465G,RCG,Reedy Creek,Raleigh,465g.pdf,,,,7120,1974,43,1,1,732034,,,1,1,0,3105,39000,1,14,4116 Reedy Creek Rd.
CALS Farm Storage UFL 147G-Reedy Creek,821K,Y54,Reedy Creek,Raleigh,,,,,1480,1967,50,1,1,152164,,,2,1,1406,1406,2250,1,14,4905 Reedy Creek Rd.
CALS Farrowing Hse UFL 2107-Lake Wheeler,813N,X89,Lake Wheeler Site,Raleigh,,,,,9187,1987,30,1,1,1033032,,,1,2,8722,8722,382800,1,14,3707 Interval Rd.
CALS Feed Bldg UFL 808-Aurora,849G,Q77,Outlying,Aurora,,,,,396,1993,24,1,1,23949,,,1,1,384,384,6700,1,14,2002 Hickory Point Rd.
CALS Feed Bldg-Seu UFL 2108-Lake Wheeler,813P,X90,Lake Wheeler Site,Raleigh,,,,,1080,1987,30,1,1,113278,,,1,1,962,962,41580,1,14,3705 Interval Rd.
CALS FEED MILL BLDG,821,,,,,,,,1770,1967,50,1,1,391492,,,2,1,0,1696,73000,1,14,
CALS Feed Mill Bldg UFL 2118-Lake Wheeler,813Z,Y01,Lake Wheeler Site,Raleigh,,,,,1687,1990,27,1,1,113929,,,1,1,1603,1603,46667,1,14,3919 Coefficient Rd.
CALS Feed Mill Education Unit - Lake Wheeler,815E,FME,Lake Wheeler Site,Raleigh,815e.pdf,,,,12559,2002,15,1,1,5990256,,,1,3,10616,11036,2075000,2,14,4001 Chi Rd.
CALS Feed Mill UFL 1042- Bahama,846D,Q30,Outlying,Bahama,,,,,1708,1988,29,1,1,249185,,,1,1,0,1621,146000,1,14,8800 Cassam Rd.
CALS Feed Mill UFL 241-Lake Wheeler,811P,X40,Lake Wheeler Site,Raleigh,,,,,2622,1966,51,1,1,269577,4900,80,1,1,1859,2242,14700,1,14,4521 Broiler Rd.
CALS Feed Shelter UFL 1003-Bahama,845C,Q04,Outlying,Bahama,,,,,384,1984,33,1,1,23224,,,1,1,0,365,9205,1,14,8800 Cassam Rd.
CALS Feed Shelter UFL 1005- Bahama,845E,Q06,Outlying,Bahama,,,,,384,1984,33,1,1,23224,,,1,1,0,365,9205,1,14,8800 Cassam Rd.
CALS Feed Shelter UFL 1007- Bahama,845G,Q08,Outlying,Bahama,,,,,384,1984,33,1,1,23224,,,1,1,0,365,9205,1,14,8800 Cassam Rd.
CALS Feed Shelter UFL 1009- Bahama,845J,Q10,Outlying,Bahama,,,,,384,1984,33,1,1,23224,,,1,1,0,365,9205,1,14,8800 Cassam Rd.
CALS Feed Shelter UFL 101- Bahama,845L,Q12,Outlying,Bahama,,,,,384,1985,32,1,1,23224,,,1,1,0,365,9205,1,14,8800 Cassam Rd.
CALS Feed Shelter UFL 1013- Bahama,845M,Q13,Outlying,Bahama,,,,,384,1985,32,1,1,23224,,,1,1,0,365,9205,1,14,8800 Cassam Rd.
CALS Feed Shelter UFL 1015- Bahama,845N,Q14,Outlying,Bahama,,,,,384,1985,32,1,1,23224,,,1,1,0,365,9205,1,14,8800 Cassam Rd.
CALS Feed Shelter UFL 1017- Bahama,845P,Q15,Outlying,Bahama,,,,,384,1985,32,1,1,23224,,,1,1,0,365,9205,1,14,8800 Cassam Rd.
CALS Fert/Pest Bldg #49- Clayton,806N,J40,Outlying,Clayton,,,,,2800,1984,33,1,1,169339,,,1,1,2028,2692,45500,1,14,13223 US 70 West
CALS Fertilizer & Pesticide Bldg - Fletcher,850F,Z07,Outlying,Fletcher,,,,,3472,1965,52,1,1,356968,116000,88,1,1,0,3185,4500,1,14,2000 Fanning Bridge Rd.
CALS Fertilizer Stor UFL 1022- Bahama,845U,Q20,Outlying,Bahama,,,,,1690,1990,27,1,1,204417,,,1,1,1606,1606,35735,1,14,8800 Cassam Rd.
CALS Fertilizier Storage # 29- Clayton,805Y,J24,Outlying,Clayton,,,,,1300,1969,48,1,1,133658,,,1,1,1225,1225,40600,1,14,13223 US 70 West
CALS Finishing Bldg UFL 2111-Lake Wheeler,813S,X93,Lake Wheeler Site,Raleigh,,,,,4983,1989,28,1,1,301365,,,2,1,4970,4970,119000,1,14,3912 Coefficient Rd.
CALS Fish Barn- Fletcher,850U,Z21,Outlying,Fletcher,,,,,3150,1992,25,1,1,323863,,,1,1,2993,2993,26000,1,14,2000 Fanning Bridge Rd.
CALS Fish Barn Greenhouse - Lake Wheeler,815T,FBG,Lake Wheeler Site,Raleigh,815t.pdf,,,,9422,2004,13,1,1,30239,,,1,6,0,9292,20000,1,14,3901 Inwood Rd.
CALS Fish Barn Office - Lake Wheeler,815W,FBO,Lake Wheeler Site,Raleigh,815w.pdf,,,,746,2000,17,1,1,78622,,,1,6,0,696,45000,1,14,3905 Inwood Rd.
CALS Fish Barn UFL 2500-Lake Wheeler,815B,FBU,Lake Wheeler Site,Raleigh,815b.pdf,,,,4574,1997,20,1,1,470270,,,1,6,0,4364,105600,1,14,3909 Inwood Rd.
CALS Forage Res UFL 193-Reedy Creek,465C,RCC,Reedy Creek,Raleigh,465c.pdf,,,,5075,1985,32,1,1,521779,,,1,6,4874,4874,243900,1,14,4116 Reedy Creek Rd.
CALS Forage-Metabolism Res. UFL 181-Reedy Creek,822,Y69,Reedy Creek,Raleigh,,,,,7536,1979,38,1,1,455767,,,1,2,0,6201,70000,1,14,2001 Trenton Rd.
CALS Foreman Residence Trlr #D8 - Castle Hayne,880J,FRT,Outlying,Castle Hayne,,,,,1344,1980,37,2,1,81283,6000,91,4,6,0,1300,20500,1,14,Holly Shelter Rd.
CALS Garage - Meu UFL 164-Reedy Creek,821U,Y63,Reedy Creek,Raleigh,,,,,600,1976,41,1,1,43544,,,1,1,0,570,600,1,14,2001 Trenton Rd.
CALS Garage UFL 187-Reedy Creek,822F,Y75,Reedy Creek,Raleigh,,,,,738,1979,38,1,1,75877,,,1,1,0,686,4200,1,14,4903 Reedy Creek Rd.
CALS Garage/Equip Storage UFL 207- Lake Wheeler,810J,X10,Lake Wheeler Site,Raleigh,,,,,1161,1980,37,1,1,119367,,,1,1,1150,1150,4500,1,14,3901 Inwood Rd.
CALS General Services Bldg # 28- Clayton,805X,J23,Outlying,Clayton,,,,,4836,1961,56,1,1,497207,,,1,2,4617,4617,98000,1,14,13223 US 70 West
CALS Generator Shed UFL 807-Aurora,849F,Q76,Outlying,Aurora,,,,,200,1980,37,1,1,20563,7280,93,1,1,172,172,385,1,14,2002 Hickory Point Rd.
CALS Genetics Bldg UFL 231-Lake Wheeler,811E,X31,Lake Wheeler Site,Raleigh,,,,,6800,1986,31,1,1,865808,,,2,1,5124,5124,138720,1,14,4510 Poultry Rd.
CALS Gestation Bldg UFL 2109-Lake Wheeler,813R,X92,Lake Wheeler Site,Raleigh,,,,,6088,1989,28,1,1,424562,,,1,2,6057,6057,148104,1,14,3701 Interval Rd.
CALS Glass Greenhouse - Fletcher,850T,Z20,Outlying,Fletcher,,,,,3100,1989,28,1,1,562451,,,1,1,3000,3000,310000,1,14,2000 Fanning Bridge Rd.
CALS Goat Lounge UFL 167-Reedy Creek,821W,Y65,Reedy Creek,Raleigh,,,,,344,1978,39,1,1,24966,,,1,1,0,327,1344,1,14,2001 Trenton Rd.
CALS Grease/Tire Storage UFL 185-Reedy Creek,822D,Y73,Reedy Creek,Raleigh,,,,,640,1975,42,1,1,65802,,,1,1,0,608,1000,1,14,4616 Reedy Creek Rd.
CALS Greenhouse - Fletcher,850A,Z02,Outlying,Fletcher,,,,,9310,1985,32,1,1,1689168,,,1,1,7632,7632,175000,1,14,2000 Fanning Bridge Rd.
CALS Greenhouse #20 Mcgough - Fletcher,851A,A13,Outlying,Fletcher,,,,,3700,1976,41,1,1,671312,,,3,1,0,3515,7000,1,14,2000 Fanning Bridge Rd.
CALS GREENHOUSE #39-,806G,,,,,,,,1038,1966,51,1,1,188330,,,2,1,1025,1025,28000,1,14,
CALS GREENHOUSE1 - C,856K,,,,,,,,1260,2003,14,1,1,228609,,,1,6,0,1150,16118,1,14,
CALS Greenhouse1 - Cunningham Farm - Kinston,856J,G1C,Outlying,Kinston,,,,,2100,2003,14,1,1,381015,,,1,6,0,1750,26609,1,14,200 Cunningham Rd.
CALS Greenhouses - Castle Hayne,880A,A18,Outlying,Castle Hayne,,,,,6700,1993,24,1,1,1215620,,,1,1,6682,6682,350000,1,14,3800 Castle Hayne Rd.
CALS Ground Water Shelter (Leonard Bldg) -Lake Wheeler,809V,GWS,Lake Wheeler Site,Raleigh,809v.pdf,,,,538,2002,15,1,1,6048,,,1,1,0,507,3000,1,14,4050 Chi Rd.
CALS Group Feed Barn UFL 1044- Bahama,846F,Q32,Outlying,Bahama,,,,,7688,1988,29,1,1,790431,,,1,4,7609,7609,240000,1,14,8800 Cassam Rd.
CALS Hatchery UFL 802- Aurora,849A,Q71,Outlying,Aurora,,,,,4000,1988,29,1,1,1935315,11115,94,1,6,3885,3885,60000,1,14,2002 Hickory Point Rd.
CALS Hay Barn - Meu UFL 182-Reedy Creek,822A,Y70,Reedy Creek,Raleigh,,,,,7600,1980,37,1,1,781383,,,1,2,7252,7252,107568,1,14,2001 Trenton Rd.
CALS Hay Shed UFL 1037- Bahama,846A,Q27,Outlying,Bahama,,,,,4480,1991,26,1,1,270944,,,1,1,4256,4256,44800,1,14,8800 Cassam Rd.
CALS Hay Shed UFL 1038- Bahama,846B,Q28,Outlying,Bahama,,,,,4480,1995,22,1,1,270944,,,1,1,4256,4256,33600,1,14,8800 Cassam Rd.
CALS Hay Shed UFL 1047- Bahama,846H,Q34,Outlying,Bahama,,,,,2250,1988,29,1,1,154825,,,1,1,2138,2138,49500,1,14,8800 Cassam Rd.
CALS HAY STORAGE UFL,821C,,,,,,,,1029,1950,67,1,1,105794,,,2,1,0,978,200,1,14,
CALS Hay Storage UFL 216-Lake Wheeler,810T,X19,Lake Wheeler Site,Raleigh,,,,,2393,1947,70,1,1,246033,,,2,1,866,2244,800,1,14,3951 Parametric Rd.
CALS Hay/Feed Storage UFL 134-Reedy Creek,821A,Y45,Reedy Creek,Raleigh,,,,,1648,1964,53,1,1,169437,,,2,1,0,1464,7200,1,14,2100 Trenton Rd.
CALS Headhouse - Fletcher,850B,Z03,Outlying,Fletcher,,,,,8280,1985,32,1,1,1502288,,,1,1,4601,4601,320650,1,14,2000 Fanning Bridge Rd.
CALS Health Treatment UFL 1071- Bahama,846P,Q40,Outlying,Bahama,,,,,288,1984,33,1,1,17419,,,1,1,0,274,6904,1,14,8800 Cassam Rd.
CALS Herdsman Office UFL 112-Reedy Creek,822V,Y89,Reedy Creek,Raleigh,,,,,144,1995,22,1,1,43544,,,1,1,0,127,4000,1,14,4616 Reedy Creek Rd.
CALS Horticulture Bldg #30- Clayton,805Z,J25,Outlying,Clayton,,,,,2784,1961,56,1,1,286233,,,1,1,0,1230,90000,1,14,13223 US 70 West
CALS Horticulture Ghse #68- Clayton,806X,J49,Outlying,Clayton,,,,,1728,1993,24,1,1,313521,,,1,1,1641,1641,3000,1,14,13223 US 70 West
CALS IIRRIGATION SHE,820C,,,,,,,,56,1982,35,1,1,3386,,,1,1,0,53,300,1,14,
CALS Implement Open Shed- Clayton,807A,A15,Outlying,Clayton,,,,,256,1997,20,1,1,15483,,,1,1,0,182,1732,1,14,13223 US 70 West
CALS Implement Shelter UFL 208-Lake Wheeler,810K,X11,Lake Wheeler Site,Raleigh,,,,,7380,1992,25,1,1,446332,,,1,1,7360,7360,73600,1,14,3951 Dr. Bill Gilbert Way
CALS Indiv Feed Barn UFL 1046- Bahama,846G,Q33,Outlying,Bahama,,,,,7092,1988,29,1,1,729154,,,1,4,7078,7078,196000,1,14,8800 Cassam Rd.
CALS Insectary #35- Clayton,806C,J30,Outlying,Clayton,,,,,1520,1966,51,1,1,156277,,,2,5,1242,1242,8000,1,14,13223 US 70 West
CALS Insectary #37- Clayton,806E,J32,Outlying,Clayton,,,,,668,1976,41,1,1,44740,,,1,2,651,651,15000,1,14,13223 US 70 West
CALS Ipm Poultry Bldg UFL 267-Lake Wheeler,812F,X57,Lake Wheeler Site,Raleigh,812f.pdf,,,,2880,1983,34,1,1,296103,,,1,1,0,2606,28000,1,14,4458 Poultry Rd.
CALS Irrig Programmer # 57- Clayton,806Q,J42,Outlying,Clayton,,,,,36,1987,30,1,1,2177,,,1,1,0,34,540,1,14,13223 US 70 West
CALS Irrigation Shed #3 - Castle Hayne,880S,IS3,Outlying,Castle Hayne,880s.pdf,,,,,,,,,,,,,,,,,,,3800 Castle Hayne Rd.
CALS Irrigation Shltr UFL 15S-Reedy Creek,821N,Y57,Reedy Creek,Raleigh,,,,,78,1982,35,1,1,4717,,,1,1,0,72,300,1,14,2200 Trenton Rd.
CALS Lab/Farrowing House UFL 278-Lake Wheeler,812S,X68,Lake Wheeler Site,Raleigh,,,,,1152,1978,39,1,1,89011,,,1,1,0,1096,28000,1,14,3955 Parametric Rd.
CALS Lab/Office Bldg UFL 1040- Bahama,846C,Q29,Outlying,Bahama,,,,,3090,1988,29,3,1,373758,,,1,4,2213,2213,192469,1,14,8800 Cassam Rd.
CALS Lab/Office Bldg Ul 141G-Reedy Creek,821E,Y49,Reedy Creek,Raleigh,,,,,3696,1962,55,1,1,1051446,110880,91,1,6,0,3299,8500,1,14,4905 Reedy Creek Rd.
CALS Laboratory & Office - Castle Hayne,880,LNO,Outlying,Castle Hayne,,,,,2442,1946,71,1,1,392851,50000,64,3,6,0,1929,93700,1,14,3800 Castle Hayne Rd.
CALS Lawn Storage Bldg- Fletcher,850W,Z23,Outlying,Fletcher,,,,,120,1990,27,1,1,12338,,,2,1,0,110,700,1,14,2000 Fanning Bridge Rd.
CALS Laying House UFL Fb833-Lake Wheeler,830D,ZZ4,Lake Wheeler Site,Raleigh,,,,,8505,1964,53,1,1,874431,,,2,1,7680,7680,67346,1,14,1015 Mid Pines Rd.
CALS Laying House UFL Fb835-Lake Wheeler,830E,ZZ5,Lake Wheeler Site,Raleigh,,,,,8505,1964,53,1,1,874431,,,2,1,7680,7680,67346,1,14,1012 Mid Pines Rd.
CALS Lbttc Equipment Shed-UFL 2129- Lake Wheeler,809H,LBT,Lake Wheeler Site,Raleigh,,,,,3840,1999,18,1,1,232237,,,1,1,0,3264,52300,1,14,3904 Analysis Way
CALS Lean-To Dirt Shelter - Lake Wheeler,809N,LT1,Lake Wheeler Site,Raleigh,809n.pdf,,,,766,1999,18,1,1,46327,,,1,1,0,480,11490,1,14,3210 Ordinal Rd.
CALS Lean-To Shelter - Storage Shed - Lake Wheeler,809Q,LT2,Lake Wheeler Site,Raleigh,809q.pdf,,,,534,2007,10,1,1,32295,,,1,1,0,128,25365,1,14,3210 Ordinal Rd.
CALS Leonard Building -Lake Wheeler,809Z,LB1,Lake Wheeler Site,Raleigh,809z.pdf,,,,313,2001,16,1,1,9676,,,1,1,0,288,5000,1,14,4013 Chi Rd.
CALS LIVESTOCK SHADE,823,,,,,,,,288,1994,23,1,1,17419,,,1,1,0,274,3000,1,14,
CALS LIVESTOCK SHADE,822Y,,,,,,,,144,1994,23,1,1,8709,,,1,1,0,137,1500,1,14,
CALS LIVESTOCK SHADE,823A,,,,,,,,288,1994,23,1,1,17419,,,1,1,0,274,3000,1,14,
CALS LIVESTOCK SHADE,823C,,,,,,,,288,1994,23,1,1,17419,,,1,1,0,274,3000,1,14,
CALS LIVESTOCK SHADE,823D,,,,,,,,288,1994,23,1,1,17419,,,1,1,0,274,3000,1,14,
CALS LIVESTOCK SHADE,823E,,,,,,,,144,1994,23,1,1,8709,,,1,1,0,137,1500,1,14,
CALS Livestock Shelter UFL 110-Reedy Creek,822U,LSU,Reedy Creek,Raleigh,,,,,198,1994,23,1,1,11976,,,1,1,0,178,6000,1,14,2200 Trenton Rd.
CALS LIVESTOCK SHLTR,822X,,,,,,,,144,1994,23,1,1,8709,,,1,1,0,90,1500,1,14,
CALS LIVESTOCK SHLTR,823B,,,,,,,,288,1994,23,1,1,17419,,,1,1,0,274,3000,1,14,
CALS Livestock Shltr UFL 1351S-Reedy Creek,822T,Y87,Reedy Creek,Raleigh,,,,,128,1982,35,1,1,7742,,,1,1,0,124,600,1,14,2200 Trenton Rd.
CALS Livestock Shltr UFL 151S-Reedy Creek,822J,Y78,Reedy Creek,Raleigh,,,,,98,1982,35,1,1,5926,,,1,1,0,90,500,1,14,2200 Trenton Rd.
CALS Livestock Shltr UFL 152S-Reedy Creek,822K,Y79,Reedy Creek,Raleigh,,,,,236,1982,35,1,1,14273,,,4,1,0,232,1000,1,14,2200 Trenton Rd.
CALS Livestock Shltr UFL 153S-Reedy Creek,822L,Y80,Reedy Creek,Raleigh,,,,,236,1982,35,1,1,14273,,,1,1,0,232,1000,1,14,2200 Trenton Rd.
CALS Livestock Shltr UFL 154S-Reedy Creek,822M,Y81,Reedy Creek,Raleigh,,,,,98,1982,35,1,1,5926,,,1,1,0,90,500,1,14,2200 Trenton Rd.
CALS Livestock Shltr UFL 155S-Reedy Creek,822N,Y82,Reedy Creek,Raleigh,,,,,236,1982,35,1,1,58059,,,1,1,0,232,1000,1,14,2200 Trenton Rd.
CALS Livestock Shltr UFL 156S-Reedy Creek,822P,Y83,Reedy Creek,Raleigh,,,,,236,1982,35,1,1,5007,,,1,1,0,232,1000,1,14,2200 Trenton Rd.
CALS Livestock Shltr UFL 157S-Reedy Creek,822Q,Y84,Reedy Creek,Raleigh,,,,,110,1991,26,1,1,6653,,,1,1,0,90,1100,1,14,2200 Trenton Rd.
CALS Livestock Shltr UFL 158S-Reedy Creek,822R,Y85,Reedy Creek,Raleigh,,,,,110,1991,26,1,1,6653,,,1,1,0,90,1100,1,14,2200 Trenton Rd.
CALS Livestock Shltr UFL 159S-Reedy Creek,822S,Y86,Reedy Creek,Raleigh,,,,,110,1991,26,1,1,6653,,,1,1,0,90,1100,1,14,2200 Trenton Rd.
CALS Livestock Work Shelter UFL 108-Reedy Creek,820J,Y28,Reedy Creek,Raleigh,,,,,1176,1993,24,1,1,120909,,,1,1,0,1117,12500,1,14,2150 Trenton Rd.
CALS Low Energy Poult Bldg UFL 289-Lake Wheeler,813A,X77,Lake Wheeler Site,Raleigh,,,,,3512,1980,37,1,1,361082,,,1,1,3336,3336,22736,1,14,4450 Poultry Rd.
CALS Lumber/Equip Stor UFL 140-Reedy Creek,821D,Y48,Reedy Creek,Raleigh,,,,,2880,1954,63,1,1,296103,,,2,1,0,2000,1200,1,14,4905 Reedy Creek Rd.
CALS Machine Shop #56- Clayton,806P,J41,Outlying,Clayton,,,,,4804,1987,30,1,1,871617,,,1,2,3948,4592,121238,2,14,13223 US 70 West
CALS Machinery Storage Open #48- Clayton,807J,MSO,Outlying,Clayton,,,,,2560,1982,35,1,1,263203,,,4,1,0,2432,8000,1,14,13223 US 70 West
CALS Machinery Storage Shed #4- Clayton,805C,J04,Outlying,Clayton,,,,,67817,1969,48,1,1,6972510,,,1,1,133,133,26000,1,14,13223 US 70 West
CALS Machinery Storage Shed #50- Clayton,807K,K50,Outlying,Clayton,,,,,2457,1984,33,1,1,252613,,,2,1,0,2334,15300,1,14,13223 US 70 West
CALS Machinery Storage Shed #54- Clayton,807Q,MSS,Outlying,Clayton,,,,,5120,1986,31,1,1,309651,,,2,1,0,4864,19700,1,14,13223 US 70 West
